employee_id,age,gender,education,department,experience_years,salary,training_hours,projects_completed,avg_monthly_hours,satisfaction_score,last_promotion_years,absenteeism_days,peer_review_score,manager_rating,performance_score,performance_label
1001,50,Other,Master,Marketing,28,94389,94,6,169,3.8,5,22,1.4,1.2,2.67,Medium
1002,36,Female,Bachelor,HR,12,57433,46,2,220,2.9,2,10,4.6,4.8,2.66,Medium
1003,29,Female,Master,Operations,6,59909,89,5,163,1.8,7,9,3.3,2.3,2.31,Low
1004,42,Male,Bachelor,HR,20,73017,39,19,170,3.4,3,16,3.4,3.8,2.64,Medium
1005,40,Male,High School,HR,19,57310,2,7,167,3.2,7,22,4.6,3.4,1.72,Low
1006,44,Male,Master,Engineering,20,75912,74,9,271,1.4,1,19,4.6,3.3,2.83,Medium
1007,32,Male,Bachelor,Sales,12,60442,28,2,178,3.6,8,12,4.3,3.3,2.47,Low
1008,32,Female,PhD,Marketing,9,78402,90,7,222,4.1,1,21,4.1,2.2,2.92,Medium
1009,45,Male,Bachelor,Marketing,24,74188,57,24,210,2.1,2,8,4.5,4.5,4.08,High
1010,57,Female,Bachelor,Sales,35,97007,49,14,148,3.7,2,14,4.5,4.7,3.1,Medium
1011,45,Male,Bachelor,Marketing,21,69728,9,24,161,1.8,4,12,2.5,3.6,2.23,Low
1012,24,Female,Bachelor,Sales,1,37071,60,23,266,4.0,2,12,4.9,4.5,3.66,High
1013,43,Male,High School,Operations,19,61268,98,15,141,4.6,7,12,3.8,1.2,3.36,Medium
1014,23,Male,Bachelor,Engineering,3,44635,60,12,230,2.8,9,24,2.5,1.4,2.16,Low
1015,45,Female,Master,Engineering,23,87789,22,20,155,2.0,6,24,2.8,3.2,2.35,Low
1016,51,Male,Bachelor,Engineering,27,79533,5,4,144,2.6,0,20,3.7,4.4,1.73,Low
1017,59,Male,Bachelor,Sales,38,93639,74,13,279,2.0,5,3,2.4,2.3,2.71,Medium
1018,23,Male,Bachelor,Sales,1,42943,59,9,154,1.0,1,21,4.3,3.2,1.77,Low
1019,42,Female,Master,Finance,21,81342,26,12,206,3.6,7,9,1.6,1.0,1.65,Low
1020,54,Female,Bachelor,Marketing,30,85541,54,10,212,1.2,9,14,4.6,4.9,2.53,Medium
1021,33,Female,Bachelor,Marketing,11,55527,30,9,231,1.8,7,20,2.2,4.1,1.8,Low
1022,43,Female,PhD,Finance,22,93260,29,21,202,3.9,6,27,1.6,2.4,1.81,Low
1023,46,Other,Bachelor,Finance,26,83127,66,23,239,3.7,7,9,4.4,4.9,4.07,High
1024,48,Female,Bachelor,Engineering,28,78797,12,7,164,1.3,0,20,2.0,1.4,1.0,Low
1025,49,Female,Master,Finance,25,82831,58,12,180,3.6,7,7,4.4,2.9,2.77,Medium
1026,37,Female,Master,Sales,15,71710,53,16,167,4.7,0,9,2.2,1.2,2.67,Medium
1027,36,Male,Bachelor,HR,13,62959,20,15,250,1.3,2,20,4.7,2.3,2.61,Medium
1028,24,Other,Bachelor,Sales,2,40059,42,7,160,2.7,3,16,1.9,1.9,1.77,Low
1029,58,Female,Master,Finance,38,102072,10,8,200,3.9,2,4,1.3,2.3,1.87,Low
1030,28,Male,Bachelor,Marketing,7,50611,66,7,242,3.7,1,12,4.7,4.8,2.72,Medium
1031,42,Male,Master,Sales,19,76421,37,11,278,1.9,2,20,1.7,2.7,1.53,Low
1032,30,Male,Bachelor,Marketing,6,47888,94,4,214,1.7,8,20,4.8,2.3,2.36,Low
1033,39,Male,Bachelor,Sales,16,59177,23,18,140,4.1,1,27,4.3,3.6,2.63,Medium
1034,25,Male,High School,Marketing,1,28499,50,19,248,4.8,4,18,1.3,3.7,3.25,Medium
1035,46,Male,Master,Operations,23,88463,75,7,216,4.1,2,11,2.8,4.9,2.94,Medium
1036,35,Male,Master,Sales,11,70637,60,13,156,4.9,8,11,1.3,3.2,3.02,Medium
1037,30,Female,Bachelor,Marketing,6,51426,45,9,250,3.4,6,24,2.3,4.0,2.12,Low
1038,47,Male,PhD,HR,24,100495,42,18,158,4.7,9,20,2.4,2.5,2.67,Medium
1039,23,Male,Bachelor,Engineering,0,35269,26,7,213,3.8,2,27,3.4,1.7,1.19,Low
1040,41,Male,High School,Sales,17,52155,84,20,198,4.6,1,1,4.9,2.7,3.88,High
1041,49,Female,Master,HR,29,91033,88,16,254,1.6,1,20,1.7,2.7,2.55,Medium
1042,28,Male,Master,Engineering,5,57482,29,23,177,4.3,4,8,2.3,2.7,2.77,Medium
1043,29,Male,Master,Sales,7,59861,93,5,170,1.8,8,29,3.3,3.8,3.14,Medium
1044,56,Female,Master,HR,35,103618,62,7,245,1.1,1,23,1.7,2.6,1.71,Low
1045,35,Male,Bachelor,HR,11,60196,9,6,250,3.1,1,21,3.8,4.8,1.27,Low
1046,38,Male,Bachelor,Operations,14,58404,2,2,189,2.3,7,24,2.6,4.9,1.12,Low
